n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.008853912353515625,15,0.5029501914978027,549,,,0,0,[nan]
15,15,19.070518255233765,1920,0.0016260147094726562,5,0.07768964767456055,85,,,8.082389831542969e-05,0,[nan]
20,20,8.967990636825562,1920,0.0013773441314697266,5,0.04899287223815918,57,,,0.00017595291137695312,0,[nan]
25,25,2.140183687210083,1920,0.0016422271728515625,5,0.8924891948699951,1029,,,0.0001728534698486328,0,[nan]
30,30,4.135879755020142,1920,0.0016787052154541016,5,0.02489614486694336,20,,,0.00013566017150878906,0,[nan]
35,35,2.2214763164520264,1920,0.001626729965209961,5,0.024075984954833984,19,,,0.00013637542724609375,0,[nan]
40,40,4.555490493774414,1920,0.0015757083892822266,5,0.029273033142089844,22,,,8.344650268554688e-05,0,[nan]
45,45,2.6670947074890137,1920,0.0014910697937011719,5,1.0506036281585693,950,,,0.00015497207641601562,0,[nan]
50,50,3.2820093631744385,1920,0.0016427040100097656,5,0.0313878059387207,21,,,0.0001316070556640625,0,[nan]
55,55,3.235049247741699,1920,0.0014789104461669922,5,0.02508711814880371,16,,,6.723403930664062e-05,0,[nan]
60,60,2.301109790802002,1920,0.0015196800231933594,5,0.023773908615112305,14,,,8.606910705566406e-05,0,[nan]
65,65,2.069077730178833,1920,0.0015516281127929688,5,1.5568320751190186,1047,,,0.00010371208190917969,0,[nan]
70,70,2.462996006011963,1920,0.0015950202941894531,5,0.039386749267578125,21,,,6.270408630371094e-05,0,[nan]
75,75,2.9627726078033447,1920,0.0015568733215332031,5,0.03236055374145508,16,,,5.507469177246094e-05,0,[nan]
80,80,2.7642056941986084,1920,0.0015120506286621094,5,0.033078670501708984,15,,,5.054473876953125e-05,0,[nan]
85,85,2.23628306388855,1920,0.0015609264373779297,5,2.0616838932037354,1075,,,0.00026297569274902344,0,[nan]
90,90,2.385234832763672,1920,0.0017366409301757812,5,0.03930854797363281,15,,,9.584426879882812e-05,0,[nan]
95,95,2.5640392303466797,1920,0.0016846656799316406,5,0.04593920707702637,17,,,0.0001220703125,0,[nan]
100,100,3.012730836868286,1920,0.0016117095947265625,5,0.047512054443359375,17,,,0.0001277923583984375,0,[nan]
105,105,2.33634352684021,1920,0.0015861988067626953,5,3.4147462844848633,1346,,,0.00013256072998046875,0,[nan]
110,110,2.056091547012329,1920,0.0014986991882324219,5,0.048566579818725586,16,,,7.653236389160156e-05,0,[nan]
115,115,2.584278106689453,1920,0.0015180110931396484,5,0.04844021797180176,15,,,5.3882598876953125e-05,0,[nan]
120,120,2.530390739440918,1920,0.0015473365783691406,5,0.054831743240356445,16,,,4.649162292480469e-05,0,[nan]
