n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.06175827980041504,90,6.586119890213013,974,,,0,0,"[nan, nan, nan]"
90,90,12.24733829498291,1920,0.01980733871459961,30,0.028883934020996094,3,,,0.004560947418212891,0,"[np.float64(370.44000436013226), nan, 0.001]"
120,109,17.027490615844727,1920,0.016234159469604492,30,3.978480815887451,427,,,0.005338907241821289,0,"[np.float64(124.17120874615995), np.float64(1.0436486553415518), 0.001]"
150,139,23.157159090042114,1920,0.016526460647583008,30,1.8095626831054688,164,,,0.0046122074127197266,0,"[np.float64(399.2757733268344), np.float64(21.375524458325415), np.float64(0.999999999815853)]"
180,155,21.569441080093384,1920,0.016756057739257812,30,1.2769858837127686,103,,,0.005945444107055664,0,"[np.float64(435.9598325310138), np.float64(223.35183650085614), np.float64(0.9740081388225454)]"
210,160,20.442899703979492,1920,0.01658773422241211,30,4.0990424156188965,260,,,0.006122589111328125,0,"[np.float64(361.2264201276581), np.float64(60.5427988727231), np.float64(0.999999038754163)]"
240,176,20.697909832000732,1920,0.016366243362426758,30,7.4997053146362305,355,,,0.008265495300292969,0,"[np.float64(375.2990080310108), np.float64(266.21268257880195), np.float64(0.9999999999846108)]"
270,195,17.394089698791504,1920,0.0161283016204834,30,5.126559019088745,168,,,0.006647348403930664,0,"[np.float64(346.9625746498267), np.float64(280.79139538055097), np.float64(1.0)]"
300,221,21.23165798187256,1920,0.016045331954956055,30,14.211401462554932,360,,,0.00540471076965332,0,"[np.float64(322.2777610662048), np.float64(369.27444935346784), np.float64(0.9457413617318922)]"
330,249,20.797199487686157,1920,0.01593923568725586,30,50.590007066726685,1078,,,0.0053997039794921875,0,"[np.float64(249.61234945890394), np.float64(147.69545217281825), np.float64(1.0)]"
360,279,21.61126208305359,1920,0.016419172286987305,30,17.507429361343384,282,,,0.005005359649658203,0,"[np.float64(291.895254047178), np.float64(395.1975771160862), np.float64(1.0)]"
390,307,26.65569806098938,1920,0.016161680221557617,30,13.611162185668945,186,,,0.010198116302490234,0,"[np.float64(327.3703777422335), np.float64(248.47594461961677), np.float64(0.9999999995616207)]"
420,331,28.91425108909607,1920,0.01606297492980957,30,33.71531057357788,385,,,0.005331754684448242,0,"[np.float64(280.8581352354566), np.float64(108.35745830164896), np.float64(0.9998528554932387)]"
450,361,26.70833396911621,1920,0.016091346740722656,30,37.104496240615845,332,,,0.008858203887939453,0,"[np.float64(252.76704978094395), np.float64(170.99193576625936), np.float64(0.9994939235318503)]"
480,391,28.134236574172974,1920,0.016100645065307617,30,30.80191159248352,232,,,0.017065763473510742,0,"[np.float64(242.25159271569342), np.float64(157.49808690588398), np.float64(0.9999997068555787)]"
510,421,30.697649717330933,1920,0.016617536544799805,30,26.11903405189514,166,,,0.005941867828369141,0,"[np.float64(203.83092220847598), np.float64(175.1367232976357), np.float64(0.9999968666408773)]"
540,451,30.052680253982544,1920,0.016216754913330078,30,16.715441465377808,96,,,0.005899190902709961,0,"[np.float64(235.15570408367935), np.float64(141.67275551931849), np.float64(0.9995255901967847)]"
570,481,27.379780292510986,1920,0.01632380485534668,30,13.095332622528076,69,,,0.008054971694946289,0,"[np.float64(197.63946730477804), np.float64(139.89044924540588), np.float64(0.4225020738292408)]"
600,511,20.471848011016846,1920,0.012827634811401367,30,19.85169219970703,95,,,0.006104707717895508,0,"[np.float64(87.47210746995842), np.float64(30.864369483065133), np.float64(0.18706539991100868)]"
630,541,36.87966060638428,1920,0.016357898712158203,30,266.8956141471863,1230,251.38824892044067,64000,0.006370067596435547,0,"[np.float64(0.3109509313480885), np.float64(8.18682349364835), 0.001]"
