n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.008819103240966797,15,0.5844359397888184,741,,,0,0,"[nan, nan, nan]"
15,15,20.67686128616333,1920,0.001088857650756836,5,0.016651630401611328,15,,,0.001959085464477539,0,"[np.float64(730.8811561217225), nan, np.float64(0.06833278444774)]"
20,18,8.506995677947998,1920,0.0011458396911621094,5,0.042388916015625,46,,,0.0021886825561523438,0,"[np.float64(78.59093991819978), np.float64(0.933487087831906), np.float64(0.30689208180457533)]"
25,21,9.447682857513428,1920,0.001100301742553711,5,0.716864824295044,871,,,0.002190113067626953,0,"[np.float64(38.00500506495131), np.float64(6.418069583511185), np.float64(1.0)]"
30,24,7.520068407058716,1920,0.0014209747314453125,5,0.024224042892456055,18,,,0.0024275779724121094,0,"[np.float64(27.742980831556416), np.float64(192.25357291841874), np.float64(0.8822441683481383)]"
35,29,10.891775131225586,1920,0.0013282299041748047,5,0.07999062538146973,74,,,0.002286195755004883,0,"[np.float64(1.3037783067749729), np.float64(13.091543768958463), np.float64(0.002436755584494815)]"
40,34,8.171006441116333,1920,0.0012836456298828125,5,0.003593921661376953,0,,,0.0021598339080810547,0,"[np.float64(304.16914334283643), np.float64(5.827907677865932), np.float64(0.992931356386937)]"
45,34,8.525599479675293,1920,0.0015099048614501953,5,0.004289150238037109,0,,,0.0025467872619628906,0,"[np.float64(363.59861024913965), np.float64(0.24564962246291672), np.float64(0.9998086673936154)]"
50,34,9.910207271575928,1920,0.001346588134765625,5,0.04205465316772461,35,,,0.002329111099243164,0,"[np.float64(274.10470092578595), np.float64(0.4109018622592786), np.float64(0.9939692835604748)]"
55,35,9.892826557159424,1920,0.0012996196746826172,5,0.05457615852355957,46,,,0.0022809505462646484,0,"[np.float64(77.6027405610042), np.float64(1.9498763427213077), np.float64(0.996490854626453)]"
60,37,7.95344877243042,1920,0.0010313987731933594,5,0.0356440544128418,31,,,0.001786947250366211,0,"[np.float64(35.753297329745386), np.float64(5.140718757754803), np.float64(0.9999999992722581)]"
65,42,7.883261203765869,1920,0.0013458728790283203,5,1.5574390888214111,1374,,,0.0020017623901367188,0,"[np.float64(40.996480024151296), np.float64(18.892514431902633), np.float64(0.3658295150944034)]"
70,47,9.567199230194092,1920,0.0014007091522216797,5,0.1253354549407959,95,,,0.0022835731506347656,0,"[np.float64(20.68379615314693), np.float64(107.97945142485686), np.float64(0.9681228157189526)]"
75,52,6.146573543548584,1920,0.0013408660888671875,5,0.060877084732055664,41,,,0.002256631851196289,0,"[np.float64(0.6296325897855262), np.float64(11.61725651899097), 0.001]"
80,57,5.5207483768463135,1920,0.0013365745544433594,5,0.09594440460205078,62,,,0.0023453235626220703,0,"[np.float64(0.25804688245325735), np.float64(0.13603174006581886), 0.001]"
85,62,5.282870292663574,1920,0.0012996196746826172,5,2.4808342456817627,1659,,,0.0024785995483398438,0,"[np.float64(0.8255954476660605), np.float64(0.14808366081574018), 0.001]"
90,67,5.536910057067871,1920,0.0013232231140136719,5,0.08455944061279297,48,,,0.0022890567779541016,0,"[np.float64(0.11608859605798116), np.float64(0.13939174947290234), 0.001]"
95,72,5.792939901351929,1920,0.0011782646179199219,5,0.04434323310852051,23,,,0.0020127296447753906,0,"[np.float64(0.0993064928377585), np.float64(0.029719534439874497), 0.001]"
100,77,4.431333303451538,1920,0.001287221908569336,5,0.08084559440612793,41,,,0.0022461414337158203,0,"[np.float64(0.12033952951579252), np.float64(0.7011759794933656), 0.001]"
105,82,4.9946815967559814,1920,0.0013203620910644531,5,2.9667909145355225,1593,,,0.002614736557006836,0,"[np.float64(0.8643828411523415), np.float64(0.12536231868646272), 0.001]"
110,87,4.3148157596588135,1920,0.0012729167938232422,5,0.17576360702514648,82,,,0.002106189727783203,0,"[np.float64(0.18335463746463532), np.float64(0.07307962568363047), 0.001]"
115,92,5.291110277175903,1920,0.001341104507446289,5,0.19085144996643066,82,77.43333315849304,64000,0.0023584365844726562,0,"[np.float64(0.08833918021357334), np.float64(0.0735663969288983), 0.001]"
