n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.012438058853149414,24,0.7215757369995117,834,,,0,0,"[nan, nan, nan]"
24,24,16.370139122009277,1920,0.0034296512603759766,8,0.042278289794921875,37,,,0.0023093223571777344,0,"[np.float64(45.543117505231194), nan, 0.001]"
32,32,13.053162813186646,1920,0.003031015396118164,8,0.017473459243774414,14,,,0.0024776458740234375,0,"[np.float64(60.04663772099072), np.float64(2.022860493795754), 0.001]"
40,40,11.683817148208618,1920,0.0032079219818115234,8,0.05599164962768555,39,,,0.0022726058959960938,0,"[np.float64(93.11401771714351), np.float64(3.586278835690701), 0.001]"
48,48,10.449199438095093,1920,0.002981901168823242,8,1.8487610816955566,1432,,,0.0028412342071533203,0,"[np.float64(98.05864568521204), np.float64(0.0774931470331202), 0.001]"
56,56,2.4920833110809326,1920,0.003298521041870117,8,0.10506749153137207,65,50.51929783821106,64000,0.0023250579833984375,0,"[np.float64(0.09850367015022243), np.float64(5.87390664692676), 0.001]"
