n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.030066967010498047,48,2.0247273445129395,1433,,,0,0,"[nan, nan, nan]"
48,48,20.53887438774109,1920,0.006656646728515625,16,0.40082430839538574,228,,,0.0029048919677734375,0,"[np.float64(185.26208733035494), nan, 0.001]"
64,64,8.828674077987671,1920,0.006787776947021484,16,0.3317301273345947,142,,,0.0036287307739257812,0,"[np.float64(83.26337082463502), np.float64(13.480174362252752), np.float64(0.9919345616248724)]"
80,79,9.582513093948364,1920,0.00679779052734375,16,0.6373579502105713,231,,,0.0030701160430908203,0,"[np.float64(115.74098246615799), np.float64(76.51940455890076), np.float64(0.4279294123424983)]"
96,94,8.184765338897705,1920,0.006799221038818359,16,0.31423449516296387,86,,,0.002763032913208008,0,"[np.float64(79.60948761897932), np.float64(114.35105195743286), 0.001]"
112,109,13.151509523391724,1920,0.006659746170043945,16,0.8674423694610596,186,,,0.0035660266876220703,0,"[np.float64(96.4907097655582), np.float64(19.89416404812558), np.float64(1.0)]"
128,124,9.762898206710815,1920,0.006665229797363281,16,0.527716875076294,102,,,0.0026590824127197266,0,"[np.float64(118.06350860521759), np.float64(348.65017710897837), np.float64(0.9958663503802975)]"
144,140,13.270011186599731,1920,0.00661468505859375,16,7.582198143005371,1194,,,0.003558635711669922,0,"[np.float64(100.2263821908507), np.float64(136.58938697521572), np.float64(0.9999999971823677)]"
160,156,8.678562641143799,1920,0.006697654724121094,16,0.66375732421875,87,,,0.0033240318298339844,0,"[np.float64(80.47446714657193), np.float64(256.4873265491194), np.float64(0.9999887263832288)]"
176,172,7.135924577713013,1920,0.0066525936126708984,16,1.1351747512817383,128,,,0.0026674270629882812,0,"[np.float64(86.6494457673906), np.float64(102.50033197462818), np.float64(0.9997919501363941)]"
192,188,4.603838205337524,1920,0.005974769592285156,16,0.41485142707824707,40,63.999154806137085,64000,0.002366781234741211,0,"[np.float64(0.02829990737424737), np.float64(20.15720053382317), 0.001]"
