n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.029874801635742188,48,1.323265790939331,970,,,0,0,"[nan, nan, nan]"
48,48,18.922287464141846,1920,0.006911516189575195,16,0.3342459201812744,190,,,0.0032498836517333984,0,"[np.float64(152.06938177467077), nan, 0.001]"
64,64,8.582983493804932,1920,0.007029056549072266,16,0.35320472717285156,162,,,0.0032460689544677734,0,"[np.float64(233.88369977233617), np.float64(13.004937578087102), np.float64(0.9999999619697162)]"
80,80,9.236518383026123,1920,0.007211208343505859,16,0.047814130783081055,14,,,0.0030357837677001953,0,"[np.float64(90.60273608423135), np.float64(96.60518447571755), np.float64(0.13086864722642638)]"
96,95,8.667966365814209,1920,0.006999969482421875,16,0.6805968284606934,178,,,0.0028657913208007812,0,"[np.float64(40.7021487525904), np.float64(32.03505180765943), 0.001]"
112,111,7.190088987350464,1920,0.007160663604736328,16,0.20508885383605957,42,,,0.0030460357666015625,0,"[np.float64(99.99737463599607), np.float64(21.920073376504767), np.float64(1.0)]"
128,127,6.336388826370239,1920,0.006801605224609375,16,0.7368154525756836,127,,,0.003942728042602539,0,"[np.float64(88.75506354615646), np.float64(212.69621943975318), np.float64(0.14388094585223635)]"
144,143,8.932175397872925,1920,0.00699162483215332,16,30.01880669593811,4273,,,0.0036890506744384766,0,"[np.float64(85.64270629345907), np.float64(105.30130152969649), np.float64(0.02277397031348033)]"
160,159,8.392794609069824,1920,0.007219076156616211,16,0.5287585258483887,62,,,0.003038644790649414,0,"[np.float64(99.46243275597725), np.float64(42.85907890130523), np.float64(0.9759976158606988)]"
176,175,6.500220775604248,1920,0.007003307342529297,16,1.1995913982391357,122,,,0.002778291702270508,0,"[np.float64(53.999596973070126), np.float64(18.841015442421472), np.float64(0.0027903399108219805)]"
192,191,4.377295255661011,1920,0.006848812103271484,16,0.457033634185791,45,64.85846519470215,64000,0.0026836395263671875,0,"[np.float64(0.03110826571159464), np.float64(4.805918367936826), 0.001]"
