n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.005597114562988281,15,0.5514345169067383,571,,,0,0,"[nan, nan, nan]"
15,15,15.643656969070435,1920,0.0013165473937988281,5,0.022472381591796875,19,,,0.002183198928833008,0,"[np.float64(722.837918301312), nan, np.float64(0.05526692087205276)]"
20,17,8.121521711349487,1920,0.0010900497436523438,5,0.0034379959106445312,0,,,0.002129793167114258,0,"[np.float64(370.73510057164054), np.float64(6.1933939285263495), np.float64(0.9872637290293929)]"
25,17,7.839603900909424,1920,0.001272439956665039,5,0.8269200325012207,1021,,,0.0019843578338623047,0,"[np.float64(104.97078316312509), np.float64(0.02454410619753246), np.float64(0.9797525112164568)]"
30,20,9.117213249206543,1920,0.0012798309326171875,5,0.032567739486694336,30,,,0.002294301986694336,0,"[np.float64(35.52674628267139), np.float64(130.62711218369185), np.float64(0.9970283461395909)]"
35,25,8.159639835357666,1920,0.0010631084442138672,5,0.038138389587402344,39,,,0.0020515918731689453,0,"[np.float64(32.54355467275525), np.float64(45.5798914627907), np.float64(0.9899840041238213)]"
40,30,8.25970196723938,1920,0.0012989044189453125,5,0.043877601623535156,38,,,0.002237081527709961,0,"[np.float64(58.09558419021015), np.float64(38.47681781837153), np.float64(0.9999999994951803)]"
45,35,7.235686540603638,1920,0.0012559890747070312,5,1.192655086517334,1253,,,0.0017557144165039062,0,"[np.float64(41.68657591573095), np.float64(4.462636223523413), np.float64(0.9999999999999579)]"
50,40,8.467405319213867,1920,0.0010731220245361328,5,0.026683330535888672,21,,,0.0020384788513183594,0,"[np.float64(37.80561242141329), np.float64(294.2784712287743), np.float64(1.0)]"
55,45,6.485293865203857,1920,0.0012259483337402344,5,0.0028600692749023438,0,,,0.0019555091857910156,0,"[np.float64(236.94436594881702), np.float64(52.311226054361754), np.float64(0.0041022879895968424)]"
60,45,6.432077646255493,1920,0.0011982917785644531,5,0.02415323257446289,16,,,0.0020329952239990234,0,"[np.float64(11.069671895733915), np.float64(0.030957601246620295), np.float64(0.005864772193849859)]"
65,50,4.761305570602417,1920,0.0013005733489990234,5,2.430953025817871,2072,,,0.0019953250885009766,0,"[np.float64(1.5979674152208805), np.float64(11.292089128861969), np.float64(0.024844497347020274)]"
70,55,4.925605297088623,1920,0.0013470649719238281,5,0.06250643730163574,40,,,0.0022749900817871094,0,"[np.float64(0.6703702829080527), np.float64(3.6000852936856993), np.float64(0.00337551032523319)]"
75,60,7.780085325241089,1920,0.0013709068298339844,5,0.09660530090332031,60,,,0.0022399425506591797,0,"[np.float64(0.39638461287706406), np.float64(0.0813315303727421), np.float64(0.0011514170281124924)]"
80,65,5.043438673019409,1920,0.0013041496276855469,5,0.08331298828125,49,,,0.002264261245727539,0,"[np.float64(0.4641712195910124), np.float64(2.58968745745903), 0.001]"
85,70,4.293881177902222,1920,0.0010640621185302734,5,2.5599019527435303,1658,,,0.0018243789672851562,0,"[np.float64(0.1852354362600721), np.float64(0.6839986182732429), np.float64(0.0011488830684062523)]"
90,75,5.238489151000977,1920,0.0012309551239013672,5,0.11573147773742676,62,,,0.002110719680786133,0,"[np.float64(0.14149545920382778), np.float64(0.06899961483697023), np.float64(0.0010904427081767885)]"
95,80,4.646867036819458,1920,0.0014317035675048828,5,0.10715246200561523,50,79.86801385879517,64000,0.0022635459899902344,0,"[np.float64(0.04192417033811324), np.float64(0.019160820198706487), np.float64(0.0013051686232149746)]"
