n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.01340174674987793,24,1.011347770690918,1095,,,0,0,"[nan, nan, nan]"
24,24,17.77219295501709,1920,0.003094196319580078,8,0.1211252212524414,128,,,0.0021407604217529297,0,"[np.float64(73.95595950235976), nan, np.float64(0.004521111964611252)]"
32,32,9.122665405273438,1920,0.0030455589294433594,8,0.0409853458404541,37,,,0.0024001598358154297,0,"[np.float64(126.65191808871312), np.float64(11.843802978627826), np.float64(0.8291782373421906)]"
40,40,9.598623037338257,1920,0.0029850006103515625,8,0.018088340759277344,13,,,0.002279996871948242,0,"[np.float64(74.93521459478887), np.float64(16.164401430176994), np.float64(0.5229979309666973)]"
48,48,11.136430263519287,1920,0.0031104087829589844,8,3.097564697265625,2331,,,0.0029518604278564453,0,"[np.float64(24.374875873184262), np.float64(30.29242619417226), 0.001]"
56,56,3.0570924282073975,1920,0.0034568309783935547,8,0.1580491065979004,93,,,0.002423524856567383,0,"[np.float64(0.1816731460910539), np.float64(5.724526961995094), 0.001]"
64,64,2.5865471363067627,1920,0.0033173561096191406,8,0.07752442359924316,41,50.15436100959778,64000,0.0023200511932373047,0,"[np.float64(0.005125397411450905), np.float64(0.03719302614072832), 0.001]"
