n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.006371498107910156,15,0.6745986938476562,871,,,0,0,[nan]
15,15,19.030981302261353,1920,0.0016071796417236328,5,0.02773261070251465,27,,,8.034706115722656e-05,0,[nan]
20,20,10.97988510131836,1920,0.0015938282012939453,5,0.0235745906829834,22,,,0.00018477439880371094,0,[nan]
25,25,11.66098141670227,1920,0.0013384819030761719,5,0.6147117614746094,692,,,0.0001366138458251953,0,[nan]
30,30,4.950905799865723,1920,0.001283884048461914,5,0.02029705047607422,19,,,7.796287536621094e-05,0,[nan]
35,35,5.37860894203186,1920,0.0013427734375,5,0.07085251808166504,67,,,0.0002040863037109375,0,[nan]
40,40,8.038961410522461,1920,0.0015528202056884766,5,0.058653831481933594,48,,,9.679794311523438e-05,0,[nan]
45,45,10.143478870391846,1920,0.0015571117401123047,5,1.1443769931793213,986,,,0.00012803077697753906,0,[nan]
50,50,3.685399293899536,1920,0.0012955665588378906,5,0.018907546997070312,14,,,9.226799011230469e-05,0,[nan]
55,55,2.520242929458618,1920,0.0015668869018554688,5,0.03751850128173828,24,,,0.0001010894775390625,0,[nan]
60,60,2.7254652976989746,1920,0.0014853477478027344,5,0.026135683059692383,15,,,8.153915405273438e-05,0,[nan]
65,65,2.5242106914520264,1920,0.001504659652709961,5,1.5516161918640137,1043,,,8.177757263183594e-05,0,[nan]
70,70,2.1672375202178955,1920,0.0014383792877197266,5,0.04223346710205078,23,,,7.62939453125e-05,0,[nan]
75,75,2.317734956741333,1920,0.001522064208984375,5,0.03631448745727539,18,,,0.00012373924255371094,0,[nan]
80,80,2.052607297897339,1920,0.0015201568603515625,5,0.03864693641662598,18,,,0.0001423358917236328,0,[nan]
85,85,2.2591984272003174,1920,0.0014791488647460938,5,2.002795457839966,1071,,,0.0002567768096923828,0,[nan]
90,90,2.0842690467834473,1920,0.0015368461608886719,5,0.040462493896484375,17,,,6.818771362304688e-05,0,[nan]
95,95,2.696098566055298,1920,0.0015175342559814453,5,0.04272961616516113,17,,,5.745887756347656e-05,0,[nan]
100,100,2.4083404541015625,1920,0.0015900135040283203,5,0.04532742500305176,16,,,0.0001513957977294922,0,[nan]
105,105,2.481020927429199,1920,0.0015044212341308594,5,2.5791609287261963,1027,,,7.534027099609375e-05,0,[nan]
110,110,2.1204094886779785,1920,0.0014636516571044922,5,0.048279523849487305,16,,,5.1975250244140625e-05,0,[nan]
115,115,2.076146364212036,1920,0.0015552043914794922,5,0.05040574073791504,15,,,5.7220458984375e-05,0,[nan]
120,120,2.2428054809570312,1920,0.0013599395751953125,5,0.053339481353759766,17,,,7.62939453125e-05,0,[nan]
125,125,2.1111385822296143,1920,0.0015246868133544922,5,3.1016016006469727,988,,,0.0002465248107910156,0,[nan]
130,130,2.066837787628174,1920,0.001520395278930664,5,0.06836915016174316,18,,,0.00010752677917480469,0,[nan]
135,135,2.557871103286743,1920,0.0016405582427978516,5,0.07839035987854004,19,,,0.00012350082397460938,0,[nan]
140,140,2.581364870071411,1920,0.0015897750854492188,5,0.07084870338439941,16,,,0.00016117095947265625,0,[nan]
145,145,2.2388851642608643,1920,0.0014400482177734375,5,3.7214553356170654,944,,,0.00011277198791503906,0,[nan]
150,150,2.034487247467041,1920,0.0015702247619628906,5,0.06083869934082031,12,,,0.0001480579376220703,0,[nan]
155,155,2.126108169555664,1920,0.0014448165893554688,5,0.06863546371459961,14,,,8.034706115722656e-05,0,[nan]
160,160,2.3618547916412354,1920,0.00147247314453125,5,0.08065462112426758,15,,,5.53131103515625e-05,0,[nan]
165,165,2.3377134799957275,1920,0.0015325546264648438,5,4.968660116195679,1028,,,5.984306335449219e-05,0,[nan]
170,170,2.4191858768463135,1920,0.0014634132385253906,5,0.09919238090515137,17,,,5.555152893066406e-05,0,[nan]
175,175,3.4241726398468018,1920,0.0014538764953613281,5,0.07840132713317871,13,,,6.461143493652344e-05,0,[nan]
180,180,2.780683994293213,1920,0.0014603137969970703,5,0.12715601921081543,20,,,0.0001342296600341797,0,[nan]
185,185,3.1074166297912598,1920,0.0015053749084472656,5,5.820888519287109,969,,,0.00033545494079589844,0,[nan]
190,190,2.0866036415100098,1920,0.0015020370483398438,5,0.11048674583435059,16,,,9.989738464355469e-05,0,[nan]
195,195,2.11240291595459,1920,0.001461029052734375,5,0.11901187896728516,17,,,6.604194641113281e-05,0,[nan]
200,200,2.40144419670105,1920,0.0015034675598144531,5,0.21243834495544434,29,,,6.651878356933594e-05,0,[nan]
205,205,2.799377679824829,1920,0.0014290809631347656,5,8.273027420043945,1167,,,0.000354766845703125,0,[nan]
210,210,2.3316919803619385,1920,0.0015094280242919922,5,0.11634254455566406,14,,,0.00010561943054199219,0,[nan]
215,215,2.3515923023223877,1920,0.001474618911743164,5,0.15053510665893555,18,,,0.00010466575622558594,0,[nan]
220,220,2.599332571029663,1920,0.0015392303466796875,5,0.16059064865112305,18,,,7.772445678710938e-05,0,[nan]
225,225,2.133920907974243,1920,0.0014832019805908203,5,10.03557562828064,1146,,,6.580352783203125e-05,0,[nan]
230,230,2.1376304626464844,1920,0.0014481544494628906,5,0.1345367431640625,14,,,5.936622619628906e-05,0,[nan]
235,235,2.329618215560913,1920,0.00147247314453125,5,0.14594721794128418,15,,,5.53131103515625e-05,0,[nan]
