n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.060477495193481445,90,0.1795058250427246,20,,,0,0,"[nan, nan, nan]"
90,90,13.000959157943726,1920,0.01837301254272461,30,0.02745652198791504,3,,,0.00432896614074707,0,"[np.float64(378.8190542746129), nan, 0.001]"
120,106,16.999960899353027,1920,0.016254663467407227,30,2.534938097000122,298,,,0.005127906799316406,0,"[np.float64(153.26631821670335), np.float64(1.31669202342158), 0.001]"
150,136,18.789775848388672,1920,0.015727758407592773,30,0.43993282318115234,52,,,0.004536151885986328,0,"[np.float64(449.91456730052516), np.float64(18.077081096174496), np.float64(0.9971499293725038)]"
180,146,15.150938749313354,1920,0.015739917755126953,30,0.4609217643737793,41,,,0.004514217376708984,0,"[np.float64(378.26044741548924), np.float64(102.48692722824998), np.float64(0.9999999999988515)]"
210,166,18.235857486724854,1920,0.015793323516845703,30,1.1017467975616455,54,,,0.004373073577880859,0,"[np.float64(365.69536674043763), np.float64(365.6705005048004), np.float64(0.054159944995202575)]"
240,187,22.81846833229065,1920,0.016052722930908203,30,0.5367813110351562,21,,,0.004529476165771484,0,"[np.float64(431.58612767137726), np.float64(83.92607909984949), np.float64(0.9610994276931791)]"
270,208,22.093698740005493,1920,0.016035079956054688,30,1.0654263496398926,33,,,0.010172605514526367,0,"[np.float64(338.3675115000093), np.float64(33.07591964127951), np.float64(0.9403168777377177)]"
300,233,20.540826320648193,1920,0.01582646369934082,30,1.9612698554992676,44,,,0.004547119140625,0,"[np.float64(367.6252144441058), np.float64(61.23601590683248), np.float64(0.02774073557150862)]"
330,260,29.521080255508423,1920,0.01604008674621582,30,7.418359041213989,131,,,0.0046880245208740234,0,"[np.float64(313.25664143613545), np.float64(55.07465706937039), np.float64(0.01568388799069807)]"
360,286,23.704349279403687,1920,0.016061067581176758,30,7.215246677398682,106,,,0.005766868591308594,0,"[np.float64(344.3427398893818), np.float64(841.3866984141773), np.float64(1.0)]"
390,308,22.326391220092773,1920,0.01659870147705078,30,4.958504676818848,60,,,0.0044405460357666016,0,"[np.float64(275.10940502185167), np.float64(349.79648638808385), np.float64(0.9999999998652933)]"
420,338,34.63701057434082,1920,0.016356229782104492,30,17.87748694419861,183,,,0.005891084671020508,0,"[np.float64(218.16678378223597), np.float64(172.30963285920672), np.float64(0.8945055477242565)]"
450,365,29.795659065246582,1920,0.016400814056396484,30,16.99008059501648,141,,,0.006366252899169922,0,"[np.float64(280.63446993172437), np.float64(331.7074395771676), np.float64(0.999999999992678)]"
480,395,22.83939814567566,1920,0.01634359359741211,30,1.5657477378845215,11,,,0.0056400299072265625,0,"[np.float64(256.569137383873), np.float64(187.39768349283372), np.float64(0.9564790230596418)]"
510,425,19.93403649330139,1920,0.016079425811767578,30,5.586344957351685,33,,,0.004809379577636719,0,"[np.float64(289.05246453908535), np.float64(512.7359714004873), 0.001]"
540,454,33.25970697402954,1920,0.0160219669342041,30,7.816581964492798,42,,,0.0060694217681884766,0,"[np.float64(257.16668286698916), np.float64(0.7649061482621573), 0.001]"
570,483,43.093581438064575,1920,0.0164487361907959,30,7.289586544036865,37,,,0.009727239608764648,0,"[np.float64(208.23467207824274), np.float64(0.8633477376630683), 0.001]"
600,513,98.49141955375671,1920,0.01618671417236328,30,9.674269199371338,43,,,0.0061435699462890625,0,"[np.float64(262.6474199493076), np.float64(1.139026160489006), 0.001]"
630,542,75.00257444381714,1920,0.01619243621826172,30,27.446919918060303,112,,,0.005997896194458008,0,"[np.float64(232.9463126887679), np.float64(1.455396899819355), 0.001]"
660,570,23.165244817733765,1920,0.015608549118041992,30,4.1348090171813965,15,266.1907947063446,64000,0.007086753845214844,0,"[np.float64(0.6887121696760516), np.float64(22.425334050596273), 0.001]"
