n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.006445884704589844,15,0.07094407081604004,27,,,0,0,"[nan, nan, nan]"
15,15,10.223381519317627,1920,0.0016016960144042969,5,0.010500669479370117,3,,,0.002350330352783203,0,"[np.float64(343.8665923558318), nan, np.float64(0.08916580966058232)]"
20,19,9.536724328994751,1920,0.0013926029205322266,5,0.028692245483398438,24,,,0.0024640560150146484,0,"[np.float64(0.7805905937921196), np.float64(2.353436413509489), np.float64(0.006042845036485462)]"
25,24,7.8954761028289795,1920,0.0010721683502197266,5,0.0503382682800293,51,,,0.002321481704711914,0,"[np.float64(18.10593820304156), np.float64(9.098752027695507), np.float64(0.9999999918039567)]"
30,29,7.581037759780884,1920,0.0013031959533691406,5,0.0562896728515625,51,,,0.002274751663208008,0,"[np.float64(19.785976033684744), np.float64(364.8062226174646), np.float64(0.037175893864337256)]"
35,34,7.5154173374176025,1920,0.0013613700866699219,5,0.0395047664642334,33,,,0.002894878387451172,0,"[np.float64(89.271167152209), np.float64(15.763522474244631), np.float64(0.37204720306958955)]"
40,36,8.464241743087769,1920,0.0010502338409423828,5,0.01961827278137207,15,,,0.002039194107055664,0,"[np.float64(38.59420217507244), np.float64(17.459829266601965), np.float64(0.9806267040746702)]"
45,41,6.5089945793151855,1920,0.0013434886932373047,5,0.07346701622009277,56,,,0.002215862274169922,0,"[np.float64(41.62872461553115), np.float64(95.50729591995226), np.float64(0.9871076152587243)]"
50,46,7.87460994720459,1920,0.0012691020965576172,5,0.02481222152709961,15,,,0.002031087875366211,0,"[np.float64(52.82900900073228), np.float64(6.188820894742283), np.float64(0.11706695576437172)]"
55,51,6.726313352584839,1920,0.0011279582977294922,5,0.04021501541137695,30,,,0.0017783641815185547,0,"[np.float64(31.734667541704084), np.float64(4.624974745512537), np.float64(0.28387760598436407)]"
60,56,4.985913038253784,1920,0.0011141300201416016,5,0.018561601638793945,10,,,0.002077341079711914,0,"[np.float64(0.6615640413956569), np.float64(2.7578407328589494), np.float64(0.005828485621539625)]"
65,61,4.745781898498535,1920,0.0013735294342041016,5,0.09613823890686035,58,,,0.0022611618041992188,0,"[np.float64(0.525548794478123), np.float64(0.041244459197634926), np.float64(0.0026778220805814545)]"
70,66,4.605518341064453,1920,0.0013241767883300781,5,0.04998922348022461,27,,,0.002263307571411133,0,"[np.float64(0.29539424110348733), np.float64(0.06587520989023549), np.float64(0.0036785113241258535)]"
75,71,5.156909704208374,1920,0.0014078617095947266,5,0.02500128746032715,10,,,0.002482891082763672,0,"[np.float64(0.11472313370282095), np.float64(0.044399159528079934), np.float64(0.0010180171963393267)]"
80,76,6.068175315856934,1920,0.0009737014770507812,5,0.037982940673828125,22,81.32592868804932,64000,0.0016524791717529297,0,"[np.float64(0.041687660899007994), np.float64(0.2527002294166834), np.float64(0.0020669840111324006)]"
