n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.028763294219970703,48,0.07813882827758789,27,,,0,0,"[nan, nan, nan]"
48,48,10.223222017288208,1920,0.00793147087097168,16,0.010685205459594727,3,,,0.002947092056274414,0,"[np.float64(191.22774630993493), nan, 0.001]"
64,64,10.782276153564453,1920,0.007773399353027344,16,0.2736644744873047,104,,,0.002969026565551758,0,"[np.float64(123.78217858026998), np.float64(2.1792458399171983), 0.001]"
80,80,9.665017366409302,1920,0.007196664810180664,16,0.09260964393615723,28,,,0.003104686737060547,0,"[np.float64(100.26221206939695), np.float64(14.815673593644028), np.float64(0.9986408820400221)]"
96,95,12.58504343032837,1920,0.0072515010833740234,16,0.2112572193145752,55,,,0.0030024051666259766,0,"[np.float64(96.05502311447853), np.float64(75.93389027541895), np.float64(0.22926821027050548)]"
112,109,10.672059535980225,1920,0.0071964263916015625,16,0.1446526050567627,29,,,0.0027420520782470703,0,"[np.float64(62.76841923885152), np.float64(57.8998559316352), np.float64(0.03353382395526044)]"
128,125,10.554496765136719,1920,0.007023811340332031,16,0.19812250137329102,35,,,0.002917051315307617,0,"[np.float64(56.371462730877724), np.float64(57.909360989168015), np.float64(0.003231342485405187)]"
144,141,12.32131576538086,1920,0.0071048736572265625,16,0.35191774368286133,52,,,0.002832651138305664,0,"[np.float64(46.33379420407867), np.float64(9.932300349973996), 0.001]"
160,157,6.291811943054199,1920,0.006886482238769531,16,0.5408201217651367,69,,,0.0026917457580566406,0,"[np.float64(50.61930705402871), np.float64(46.15155777512648), np.float64(0.011560547773354725)]"
176,173,3.948343276977539,1920,0.006009817123413086,16,0.17355060577392578,19,64.88881087303162,64000,0.0025539398193359375,0,"[np.float64(0.2235383090013272), np.float64(4.851367885011419), 0.001]"
