n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.00751948356628418,15,0.08919215202331543,62,,,0,0,[nan]
15,15,17.012773513793945,1920,0.0014979839324951172,5,0.02765369415283203,28,,,7.081031799316406e-05,0,[nan]
20,20,9.107227087020874,1920,0.0013222694396972656,5,0.023566007614135742,25,,,0.00017023086547851562,0,[nan]
25,25,10.978714942932129,1920,0.0015594959259033203,5,0.06264328956604004,60,,,0.00015020370483398438,0,[nan]
30,30,4.492367506027222,1920,0.0016286373138427734,5,0.029280424118041992,24,,,0.0001621246337890625,0,[nan]
35,35,7.567669153213501,1920,0.0012898445129394531,5,0.022115468978881836,20,,,9.5367431640625e-05,0,[nan]
40,40,8.676892757415771,1920,0.0012369155883789062,5,0.014208793640136719,11,,,0.00011157989501953125,0,[nan]
45,45,6.725520372390747,1920,0.0014567375183105469,5,0.07312202453613281,63,,,5.745887756347656e-05,0,[nan]
50,50,2.976806640625,1920,0.0014071464538574219,5,0.02086353302001953,14,,,5.6743621826171875e-05,0,[nan]
55,55,2.4398133754730225,1920,0.0014677047729492188,5,0.03001689910888672,19,,,4.9591064453125e-05,0,[nan]
60,60,2.7047016620635986,1920,0.0014178752899169922,5,0.03636670112609863,23,,,4.482269287109375e-05,0,[nan]
65,65,4.055937767028809,1920,0.0014140605926513672,5,0.10977005958557129,74,,,4.3392181396484375e-05,0,[nan]
70,70,2.270594835281372,1920,0.0014646053314208984,5,0.023682832717895508,12,,,5.53131103515625e-05,0,[nan]
75,75,2.541746139526367,1920,0.0014176368713378906,5,0.02428889274597168,12,,,5.078315734863281e-05,0,[nan]
80,80,2.2850677967071533,1920,0.0014116764068603516,5,0.02810072898864746,13,,,5.1975250244140625e-05,0,[nan]
85,85,2.4254324436187744,1920,0.0014348030090332031,5,0.09421753883361816,44,,,4.792213439941406e-05,0,[nan]
90,90,2.0642690658569336,1920,0.0014331340789794922,5,0.029778242111206055,12,,,4.506111145019531e-05,0,[nan]
