n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.01257181167602539,24,0.06855344772338867,30,,,0,0,"[nan, nan, nan]"
24,24,9.91827130317688,1920,0.0037224292755126953,8,0.007720470428466797,3,,,0.0024306774139404297,0,"[np.float64(77.70942528081727), nan, 0.001]"
32,32,11.523354291915894,1920,0.003633260726928711,8,0.0402224063873291,29,,,0.002743959426879883,0,"[np.float64(49.630730654555535), np.float64(0.19870729863917855), 0.001]"
40,40,11.323158264160156,1920,0.0034894943237304688,8,0.04322528839111328,29,,,0.002529144287109375,0,"[np.float64(76.91269902401412), np.float64(0.05320224425440415), 0.001]"
48,48,10.719727993011475,1920,0.0034613609313964844,8,0.1634993553161621,108,,,0.0024487972259521484,0,"[np.float64(64.09636283550594), np.float64(0.3010719658641082), 0.001]"
56,56,3.069753646850586,1920,0.002848386764526367,8,0.022414207458496094,13,51.93381428718567,64000,0.0022432804107666016,0,"[np.float64(0.09352814130096831), np.float64(5.874851921415004), 0.001]"
