n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.06924796104431152,90,0.46280646324157715,59,,,0,0,"[nan, nan, nan]"
90,90,25.79652428627014,1920,0.017363309860229492,30,0.45758056640625,76,,,0.004369497299194336,0,"[np.float64(381.0494595360447), nan, 0.001]"
120,109,22.3544499874115,1920,0.01556086540222168,30,0.6024484634399414,103,,,0.004582643508911133,0,"[np.float64(554.6798109199264), np.float64(11.453645801481304), np.float64(0.08688475248322157)]"
150,113,15.808618307113647,1920,0.015432119369506836,30,0.40831685066223145,49,,,0.004454374313354492,0,"[np.float64(307.6863829102883), np.float64(57.516556313547895), 0.001]"
180,137,19.70471978187561,1920,0.015740633010864258,30,0.5624029636383057,49,,,0.004570484161376953,0,"[np.float64(351.2834636783278), np.float64(17.997971782504976), np.float64(0.9999999999999165)]"
210,157,30.642552852630615,1920,0.015625,30,1.2646732330322266,83,,,0.0049555301666259766,0,"[np.float64(378.3918350856865), np.float64(189.61769399702362), np.float64(0.9061911294198919)]"
240,178,25.106609344482422,1920,0.015913724899291992,30,0.8011515140533447,30,,,0.017909765243530273,0,"[np.float64(390.0742790218852), np.float64(159.96494892378757), 0.001]"
270,202,28.248891830444336,1920,0.015378713607788086,30,0.6401801109313965,19,,,0.00445246696472168,0,"[np.float64(326.22159884650733), np.float64(26.00828412379593), np.float64(0.9194891715950314)]"
300,225,38.022002935409546,1920,0.015967845916748047,30,1.153632402420044,26,,,0.004686117172241211,0,"[np.float64(326.1455913781924), np.float64(88.04078379610729), np.float64(0.02483874433266662)]"
330,249,34.08215045928955,1920,0.0159151554107666,30,6.081191062927246,114,,,0.005460262298583984,0,"[np.float64(290.7046699716659), np.float64(26.267321109406108), 0.001]"
360,278,20.233376264572144,1920,0.01558995246887207,30,0.7116963863372803,11,,,0.008417606353759766,0,"[np.float64(246.1174974828939), np.float64(319.68349242471845), np.float64(0.9999999999986245)]"
390,308,17.34390091896057,1920,0.01567244529724121,30,24.19449782371521,299,,,0.0052645206451416016,0,"[np.float64(160.02141436309444), np.float64(379.9100772391601), 0.001]"
420,338,24.99117684364319,1920,0.015601634979248047,30,3.8142683506011963,46,,,0.0056035518646240234,0,"[np.float64(213.4080159079121), np.float64(27.709432344505377), np.float64(0.9999998219119751)]"
450,368,25.94608497619629,1920,0.015379667282104492,30,1.427901268005371,12,,,0.004319667816162109,0,"[np.float64(265.960256493684), np.float64(165.03112157395506), np.float64(0.9998262223603168)]"
480,398,18.034300088882446,1920,0.015149593353271484,30,34.62209439277649,240,,,0.005658626556396484,0,"[np.float64(122.66649880003068), np.float64(442.95482684639006), 0.001]"
510,428,26.86465620994568,1920,0.015375614166259766,30,8.069242715835571,59,,,0.0060884952545166016,0,"[np.float64(188.5786083772007), np.float64(29.293294987477807), np.float64(0.9999964548184102)]"
540,458,27.74437189102173,1920,0.01613140106201172,30,21.322559356689453,120,,,0.005535602569580078,0,"[np.float64(133.78420464431352), np.float64(56.60861007062131), np.float64(0.9950667390286454)]"
570,488,30.381612062454224,1920,0.014896154403686523,30,10.159530878067017,51,,,0.006002664566040039,0,"[np.float64(180.14366808725995), np.float64(180.75855318913608), np.float64(0.9999994277250326)]"
600,518,47.506394386291504,1920,0.01504969596862793,30,29.24880599975586,138,,,0.006052732467651367,0,"[np.float64(280.8939551762967), np.float64(111.70726322178788), np.float64(0.9986734758084004)]"
630,546,51.41816234588623,1920,0.012500762939453125,30,32.03599214553833,136,,,0.005749225616455078,0,"[np.float64(140.5923815840129), np.float64(111.16628542414128), np.float64(0.9903307746033229)]"
660,576,29.29866123199463,1920,0.015139579772949219,30,4.602633237838745,19,,,0.00554203987121582,0,"[np.float64(0.518542523466266), np.float64(32.651605203739756), 0.001]"
690,580,21.362041234970093,1920,0.01357722282409668,30,6.376279354095459,23,237.99870800971985,64000,0.006109476089477539,0,"[np.float64(0.09606126383356184), np.float64(0.3852412248683188), 0.001]"
