n_total,n_finite,time_acquire,evals_acquire,time_truth,evals_truth,time_fit,evals_fit,time_mc,evals_mc,time_convergence,evals_convergence,convergence_crit_value
0,0,0,0,0.015703439712524414,24,0.08965158462524414,27,,,0,0,"[nan, nan, nan]"
24,24,11.560768127441406,1920,0.003576993942260742,8,0.007272481918334961,3,,,0.0024056434631347656,0,"[np.float64(141.81874872336792), nan, 0.001]"
32,32,12.383176565170288,1920,0.003625631332397461,8,0.03430891036987305,25,,,0.0026907920837402344,0,"[np.float64(71.6192279885878), np.float64(0.5440536170018577), 0.001]"
40,40,12.594572305679321,1920,0.0034842491149902344,8,0.029074668884277344,19,,,0.002518892288208008,0,"[np.float64(24.994062934739116), np.float64(0.3757693911803465), 0.001]"
48,48,11.890419006347656,1920,0.0035424232482910156,8,0.11969494819641113,79,,,0.002465486526489258,0,"[np.float64(29.963035991030218), np.float64(0.21429021509949528), 0.001]"
56,56,2.9389476776123047,1920,0.003460407257080078,8,0.06189417839050293,36,50.268423318862915,64000,0.002494335174560547,0,"[np.float64(0.10238822408576098), np.float64(4.777075056678593), 0.001]"
